case_id,device,target,backend_target,npu2,implementation,status,validation,timed_validation_failure,dtype,seq_len,head_dim,q_chunk_size,kv_chunk_size,mapping_rows,mapping_columns,compute_slots,kernel_count,timing_scope,attention_timing_version,npu_timing_scope,npu_aggregation,warmup,iterations,raw_count,filtered_count,outlier_count,q1_us,q3_us,iqr_us,lower_bound_us,upper_bound_us,raw_mean_us,raw_median_us,raw_min_us,raw_max_us,raw_std_us,filtered_mean_us,filtered_median_us,filtered_min_us,filtered_max_us,filtered_std_us,raw_npu_mean_us,raw_npu_median_us,raw_npu_min_us,raw_npu_max_us,raw_npu_std_us,raw_extra_mean_us,raw_extra_median_us,raw_extra_min_us,raw_extra_max_us,raw_extra_std_us,filtered_npu_mean_us,filtered_npu_median_us,filtered_npu_min_us,filtered_npu_max_us,filtered_npu_std_us,filtered_extra_mean_us,filtered_extra_median_us,filtered_extra_min_us,filtered_extra_max_us,filtered_extra_std_us,elapsed_seconds,error,log_path
baseline_bf16_N64_D64,xdna2,npu2,npu2,1,baseline,success,passed,False,bf16,64,64,32,32,4,8,32,4,end-to-end,3,post-warmup in-process test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,100,100,0,56790.715,62742.71225,5951.99725,47862.719124999996,71670.708125,60124.9475,59444.3295,53735.393,70638.463,4072.877993543935,60124.9475,59444.3295,53735.393,70638.463,4072.877993543935,281.38,272.0,258.0,505.0,38.293284006467765,59843.5675,59081.543,53467.393,70370.463,4069.185377413331,281.38,272.0,258.0,505.0,38.293284006467765,59843.5675,59081.543,53467.393,70370.463,4069.185377413331,33.727317210286856,,logs/baseline/baseline_bf16_N64_D64.log
baseline_bf16_N128_D64,xdna2,npu2,npu2,1,baseline,success,passed,False,bf16,128,64,32,32,4,8,32,4,end-to-end,3,post-warmup in-process test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,100,98,2,58634.17125,64374.45675,5740.285499999998,50023.743,72984.885,61709.19886,60403.1725,56154.112,77262.843,4024.5120454534585,61429.72765306122,60326.039000000004,56154.112,72614.807,3542.8045341941515,292.59,277.0,269.0,500.0,48.56976322775313,61416.60886,60127.6725,55870.112,76985.843,4023.4272028551454,292.3469387755102,277.0,269.0,500.0,48.87512243125045,61137.38071428571,60050.039000000004,55870.112,72279.807,3542.2086697169266,35.2327517233789,,logs/baseline/baseline_bf16_N128_D64.log
baseline_bf16_N256_D64,xdna2,npu2,npu2,1,baseline,success,passed,False,bf16,256,64,32,32,4,8,32,4,end-to-end,3,post-warmup in-process test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,100,99,1,62932.84,69878.2975,6945.457500000004,52514.65374999999,80296.48375000001,66717.51821000001,64924.361000000004,60903.363,82608.729,4725.958935017708,66557.00092929293,64880.958,60903.363,78196.573,4470.314420993841,324.59,310.0,297.0,558.0,49.6381093515859,66392.92821,64515.6805,60587.363,82300.729,4720.54819371453,324.75757575757575,310.0,297.0,558.0,49.86002445414054,66232.24335353535,64465.403,60587.363,77881.573,4463.93319373775,37.55257356353104,,logs/baseline/baseline_bf16_N256_D64.log
baseline_bf16_N512_D64,xdna2,npu2,npu2,1,baseline,success,passed,False,bf16,512,64,32,32,4,8,32,4,end-to-end,3,post-warmup in-process test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,100,97,3,70402.02025,77348.2365,6946.216249999998,59982.695875000005,87767.560875,74367.63701,73008.019,66312.775,90417.253,5446.406713873703,73909.83449484536,72967.908,66312.775,87156.186,4854.953148977215,485.14,458.0,435.0,744.0,68.75013018169493,73882.49701,72563.519,65864.775,89967.253,5434.1895853854185,481.62886597938143,458.0,435.0,744.0,64.07040579482853,73428.20562886598,72506.908,65864.775,86708.186,4851.209384612979,42.27432190999389,,logs/baseline/baseline_bf16_N512_D64.log
baseline_bf16_N1024_D64,xdna2,npu2,npu2,1,baseline,infeasible,not_run,False,bf16,1024,64,32,32,4,8,32,4,end-to-end,3,post-warmup in-process test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,The unfused baseline at sequence length 1024 is infeasible on XDNA2 (NPU2=1),logs/baseline/baseline_bf16_N1024_D64.log
baseline_bf16_N2048_D64,xdna2,npu2,npu2,1,baseline,infeasible,not_run,False,bf16,2048,64,32,32,4,8,32,4,end-to-end,3,post-warmup in-process test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,The unfused baseline at sequence length 2048 is intentionally not executed,logs/baseline/baseline_bf16_N2048_D64.log
flash_bf16_N64_D64,xdna2,npu2,npu2,1,flash,success,passed,False,bf16,64,64,32,32,4,8,32,1,end-to-end,3,post-warmup in-process test.cpp kernel launch through run.wait(),single-kernel,20,100,100,91,9,14050.0825,15555.67025,1505.5877499999988,11791.700875000002,17814.051874999997,15248.467709999999,14611.6705,13581.812,21444.455,1796.873335661294,14744.253505494504,14416.933,13581.812,16923.174,819.8459263295725,137.35,122.0,116.0,317.0,43.538804531130616,15111.117709999999,14447.152,13461.812,21323.455,1784.4201663250574,132.9120879120879,122.0,116.0,317.0,36.00538676171114,14611.341417582416,14268.703,13461.812,16746.174,820.3139657999228,15.648015594109893,,logs/flash/flash_bf16_N64_D64.log
flash_bf16_N128_D64,xdna2,npu2,npu2,1,flash,success,passed,False,bf16,128,64,32,32,4,8,32,1,end-to-end,3,post-warmup in-process test.cpp kernel launch through run.wait(),single-kernel,20,100,100,89,11,15290.883000000002,16374.50575,1083.6227499999986,13665.448875000004,17999.939874999996,16281.68655,15651.575,14511.055,23981.883,1862.0756252884435,15703.607168539325,15566.718,14511.055,17609.144,668.6564346773973,178.84,168.0,161.0,361.0,33.18394792667081,16102.84655,15485.575,14291.055,23816.883,1867.1984660815647,180.3370786516854,168.0,161.0,361.0,34.86472858536106,15523.27008988764,15397.718,14291.055,17437.144,673.1692528821927,16.36515405587852,,logs/flash/flash_bf16_N128_D64.log
flash_bf16_N256_D64,xdna2,npu2,npu2,1,flash,success,passed,False,bf16,256,64,32,32,4,8,32,1,end-to-end,3,post-warmup in-process test.cpp kernel launch through run.wait(),single-kernel,20,100,100,96,4,17217.28475,19425.84,2208.5552500000013,13904.451874999997,22738.672875000004,18609.16938,18104.394500000002,16187.03,25151.516,1979.9575758354256,18390.08303125,18025.6475,16187.03,22545.968,1684.5345951173133,305.61,252.0,242.0,442.0,74.2762270178016,18303.559380000002,17843.846,15847.246,24903.516,1999.4718787899205,307.40625,266.5,242.0,442.0,75.12234162309838,18082.67678125,17700.4,15847.246,22295.968,1702.82180587108,88.53031144756824,,logs/flash/flash_bf16_N256_D64.log
flash_bf16_N512_D64,xdna2,npu2,npu2,1,flash,success,passed,False,bf16,512,64,32,32,4,8,32,1,end-to-end,3,post-warmup in-process test.cpp kernel launch through run.wait(),single-kernel,20,100,100,94,6,17513.1535,19069.971999999998,1556.8184999999976,15177.925750000004,21405.199749999992,18639.72678,18171.0075,16824.275,25551.245,1835.3538721333582,18233.429989361703,18131.6285,16824.275,20569.509,902.5835492420832,752.57,709.0,702.0,956.0,69.87020180305764,17887.15678,17413.3605,15927.275000000001,24842.245,1835.8562233966231,751.8617021276596,709.0,702.0,956.0,69.2401926481565,17481.568287234044,17377.053,15927.275000000001,19806.509,910.3862374889516,88.69872547406703,,logs/flash/flash_bf16_N512_D64.log
