case_id,device,target,backend_target,npu2,implementation,status,validation,timed_validation_failure,dtype,seq_len,head_dim,q_chunk_size,kv_chunk_size,mapping_rows,mapping_columns,compute_slots,kernel_count,timing_scope,attention_timing_version,npu_timing_scope,npu_aggregation,warmup,iterations,raw_count,filtered_count,outlier_count,q1_us,q3_us,iqr_us,lower_bound_us,upper_bound_us,raw_mean_us,raw_median_us,raw_min_us,raw_max_us,raw_std_us,filtered_mean_us,filtered_median_us,filtered_min_us,filtered_max_us,filtered_std_us,raw_npu_mean_us,raw_npu_median_us,raw_npu_min_us,raw_npu_max_us,raw_npu_std_us,raw_extra_mean_us,raw_extra_median_us,raw_extra_min_us,raw_extra_max_us,raw_extra_std_us,filtered_npu_mean_us,filtered_npu_median_us,filtered_npu_min_us,filtered_npu_max_us,filtered_npu_std_us,filtered_extra_mean_us,filtered_extra_median_us,filtered_extra_min_us,filtered_extra_max_us,filtered_extra_std_us,elapsed_seconds,error,log_path
baseline_bf16_N64_D64,xdna1,npu1,npu1_4col,0,baseline,success,passed,False,bf16,64,64,32,32,4,4,16,4,end-to-end,2,test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,100,98,2,139396.49425,143259.707,3863.212750000006,133601.67512499998,149054.526125,141358.52943,140949.18050000002,132606.674,149770.954,3170.9040770049355,141361.99301020408,140949.18050000002,133764.914,148420.365,2959.071542018979,3502.36,3439.5,3204.0,4430.0,240.169670025172,137856.16943,137584.3115,129233.674,146177.954,3105.675948980531,3502.7551020408164,3439.5,3204.0,4430.0,242.0824223454959,137859.23790816325,137584.3115,130285.91399999999,145044.362,2894.262200956956,44.994949758052826,,logs/baseline/baseline_bf16_N64_D64.log
baseline_bf16_N128_D64,xdna1,npu1,npu1_4col,0,baseline,success,passed,False,bf16,128,64,32,32,4,4,16,4,end-to-end,2,test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,100,99,1,140809.81525,145047.13075,4237.315499999997,134453.842,151403.104,143013.14789000002,143252.6435,135056.792,152985.655,3473.088470829783,142912.4154949495,143158.414,135056.792,151341.357,3342.0777726961664,4306.86,4277.0,4081.0,5165.0,170.42312167074044,138706.28789,138992.487,130808.79199999999,148847.655,3478.1557866521102,4308.565656565656,4279.0,4081.0,5165.0,170.4303028028109,138603.84983838385,138990.457,130808.79199999999,147044.357,3342.2163137093908,45.82893995475024,,logs/baseline/baseline_bf16_N128_D64.log
baseline_bf16_N256_D64,xdna1,npu1,npu1_4col,0,baseline,success,passed,False,bf16,256,64,32,32,4,4,16,4,end-to-end,2,test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,100,97,3,148125.85,151352.61775,3226.767749999999,143285.698375,156192.769375,149398.03047,149382.8385,142265.636,156841.983,2768.6602862230015,149461.76373195878,149390.853,143291.003,154696.399,2523.5030324792338,7268.43,7252.0,7031.0,8618.0,215.84843084905668,142129.60047,142110.3385,135193.636,149443.983,2725.6752608065094,7271.319587628866,7252.0,7031.0,8618.0,216.75486398146586,142190.4441443299,142113.853,136095.003,147381.399,2490.2326355794,48.18487037811428,,logs/baseline/baseline_bf16_N256_D64.log
baseline_bf16_N512_D64,xdna1,npu1,npu1_4col,0,baseline,failed,failed,True,bf16,512,64,32,32,4,4,16,4,end-to-end,2,test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,100,100,0,152895.27,158022.15975,5126.889750000002,145204.935375,165712.494375,155538.01764,155569.874,147525.734,164354.526,3374.4375848506593,155538.01764,155569.874,147525.734,164354.526,3374.4375848506593,7962.13,7915.0,7746.0,9524.0,208.34944948331398,147575.88764,147666.374,139731.734,156298.526,3324.1628724867182,7962.13,7915.0,7746.0,9524.0,208.34944948331398,147575.88764,147666.374,139731.734,156298.526,3324.1628724867182,49.8910350878723,Baseline output validation failed; timings were recorded,logs/baseline/baseline_bf16_N512_D64.log
baseline_bf16_N1024_D64,xdna1,npu1,npu1_4col,0,baseline,success,passed,False,bf16,1024,64,32,32,4,4,16,4,end-to-end,2,test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,100,100,0,172123.09025,175824.6055,3701.5152499999967,166570.817375,181376.878375,173918.52093,174074.5325,167744.618,179342.299,2657.8357207555528,173918.52093,174074.5325,167744.618,179342.299,2657.8357207555528,9592.64,9564.0,9321.0,10498.0,192.25714655117505,164325.88093,164517.75900000002,158249.618,169727.299,2634.514583511465,9592.64,9564.0,9321.0,10498.0,192.25714655117505,164325.88093,164517.75900000002,158249.618,169727.299,2634.514583511465,55.45186191378161,,logs/baseline/baseline_bf16_N1024_D64.log
baseline_bf16_N2048_D64,xdna1,npu1,npu1_4col,0,baseline,infeasible,not_run,False,bf16,2048,64,32,32,4,4,16,4,end-to-end,2,test.cpp kernel launch through run.wait(),sum-of-4-kernels,20,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,The unfused baseline at sequence length 2048 is intentionally not executed,logs/baseline/baseline_bf16_N2048_D64.log
flash_bf16_N64_D64,xdna1,npu1,npu1_4col,0,flash,success,passed,False,bf16,64,64,32,32,4,4,16,1,end-to-end,2,test.cpp kernel launch through run.wait(),single-kernel,20,100,100,97,3,35693.471750000004,37242.31875,1548.8469999999943,33370.20125000001,39565.58924999999,36409.4677,36476.3715,32312.592,39459.267,1364.0607573286354,36528.387030927835,36482.353,33848.594,39459.267,1202.1535672527725,1295.6,1286.5,1191.0,1911.0,87.20527506980298,35113.8677,35171.78,31039.592,38241.267,1353.2005863743816,1296.4329896907216,1287.0,1191.0,1911.0,88.40463523049573,35231.95404123711,35223.567,32410.593999999997,38241.267,1192.1580498342737,18.433816943783313,,logs/flash/flash_bf16_N64_D64.log
flash_bf16_N128_D64,xdna1,npu1,npu1_4col,0,flash,success,passed,False,bf16,128,64,32,32,4,4,16,1,end-to-end,2,test.cpp kernel launch through run.wait(),single-kernel,20,100,100,98,2,37112.67275,38578.09225,1465.4195000000036,34914.54349999999,40776.22150000001,37872.90883,37829.2735,35361.424,41259.249,1168.7824243220466,37808.41201020408,37789.287,35361.424,40369.111,1088.5295844686534,2206.67,2203.0,2133.0,2412.0,52.17586702681614,35666.23883,35625.7735,33213.424,39000.249,1159.2671063548385,2205.6530612244896,2201.0,2133.0,2412.0,52.21152074774465,35602.758948979594,35601.287,33213.424,38152.76,1081.1209909881552,33.944455286022276,,logs/flash/flash_bf16_N128_D64.log
flash_bf16_N256_D64,xdna1,npu1,npu1_4col,0,flash,success,passed,False,bf16,256,64,32,32,4,4,16,1,end-to-end,2,test.cpp kernel launch through run.wait(),single-kernel,20,100,100,98,2,37319.514,39055.8405,1736.3264999999956,34715.02425000001,41660.33024999999,38271.403569999995,38229.1175,35266.604,45007.604,1485.4452759171722,38162.14302040816,38205.0715,35266.604,41355.384,1271.0953427477014,2519.04,2521.0,2429.0,2825.0,62.739448515268286,35752.36357,35671.6175,32741.604,42467.604,1477.1600252072367,2519.265306122449,2521.0,2429.0,2825.0,63.191246975305404,35642.877714285714,35667.0715,32741.604,38752.384,1260.9349664560214,34.1156220161356,,logs/flash/flash_bf16_N256_D64.log
flash_bf16_N512_D64,xdna1,npu1,npu1_4col,0,flash,success,passed,False,bf16,512,64,32,32,4,4,16,1,end-to-end,2,test.cpp kernel launch through run.wait(),single-kernel,20,100,100,100,0,38937.111750000004,40530.71375,1593.601999999999,36546.708750000005,42921.11675,39708.75931,39613.961500000005,36610.67,42714.379,1155.608196332967,39708.75931,39613.961500000005,36610.67,42714.379,1155.608196332967,3743.08,3709.5,3608.0,5009.0,162.2970535776913,35965.67931,35806.1955,32592.67,38525.379,1157.8868559326224,3743.08,3709.5,3608.0,5009.0,162.2970535776913,35965.67931,35806.1955,32592.67,38525.379,1157.8868559326224,34.6745282667689,,logs/flash/flash_bf16_N512_D64.log
