case_id,device,target,backend_target,npu2,variant,plot_series,flow,status,validation,timed_validation_failure,dtype,M,N,K,m,n,k,compute_columns,device_columns,warmup,iterations,mapping_columns,mapping_rows,raw_count,filtered_count,outlier_count,q1_us,q3_us,iqr_us,lower_bound_us,upper_bound_us,raw_mean_us,raw_median_us,raw_min_us,raw_max_us,raw_std_us,raw_gflops,filtered_mean_us,filtered_median_us,filtered_min_us,filtered_max_us,filtered_std_us,filtered_gflops,elapsed_seconds,error,log_path
manual_bf16_M256_N512_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,512,256,64,64,64,1,1,20,200,1,4,200,176,24,408.0,416.0,8.0,396.0,428.0,418.975,415.0,395.0,555.0,22.007598119740372,160.17391013783637,412.1875,415.0,398.0,419.0,4.500512912688144,162.81149719484458,10.781836970709264,,logs/manual/1col/manual_bf16_M256_N512_K256_1compute_1device.log
manual_bf16_M256_N512_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,512,512,64,64,64,1,1,20,200,1,4,200,162,38,486.75,488.0,1.25,484.875,489.875,489.15,487.0,479.0,606.0,11.15739664975661,274.3897127670449,487.1666666666667,487.0,485.0,489.0,0.9891385452647142,275.50679712624014,3.289566706866026,,logs/manual/1col/manual_bf16_M256_N512_K512_1compute_1device.log
manual_bf16_M256_N512_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,512,1024,64,64,64,1,1,20,200,1,4,200,176,24,648.0,652.0,4.0,642.0,658.0,655.83,650.0,639.0,841.0,25.42107590170015,409.30646051568243,649.5056818181819,649.0,642.0,658.0,2.8603821246050902,413.2919287920009,3.8501610970124602,,logs/manual/1col/manual_bf16_M256_N512_K1024_1compute_1device.log
manual_bf16_M256_N512_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,512,2048,64,64,64,1,1,20,200,1,4,200,177,23,1186.0,1224.25,38.25,1128.625,1281.625,1233.635,1197.0,1148.0,1717.0,101.0677583356829,435.19429328772287,1199.4915254237287,1194.0,1148.0,1278.0,21.45922915093127,447.58208009043386,5.057836172170937,,logs/manual/1col/manual_bf16_M256_N512_K2048_1compute_1device.log
manual_bf16_M256_N1024_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,1024,256,64,64,64,1,1,20,200,1,4,200,200,0,776.0,880.25,104.25,619.625,1036.625,833.78,789.0,767.0,1020.0,74.53282229997734,160.97499100482142,833.78,789.0,767.0,1020.0,74.53282229997734,160.97499100482142,3.4049834748730063,,logs/manual/1col/manual_bf16_M256_N1024_K256_1compute_1device.log
manual_bf16_M256_N1024_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,1024,512,64,64,64,1,1,20,200,1,4,200,158,42,933.0,938.0,5.0,925.5,945.5,948.745,934.0,925.0,1174.0,37.33229131730331,282.93741310889646,933.9177215189874,934.0,926.0,944.0,3.1801703438839892,287.42944888485283,3.926614181138575,,logs/manual/1col/manual_bf16_M256_N1024_K512_1compute_1device.log
manual_bf16_M256_N1024_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,1024,1024,64,64,64,1,1,20,200,1,4,200,181,19,1300.0,1306.0,6.0,1291.0,1315.0,1304.85,1303.0,1290.0,1353.0,9.929123828415074,411.4426271218914,1302.2707182320441,1302.0,1292.0,1315.0,4.186095641730106,412.25753177407927,5.064501331187785,,logs/manual/1col/manual_bf16_M256_N1024_K1024_1compute_1device.log
manual_bf16_M256_N1024_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,1024,2048,64,64,64,1,1,20,200,1,4,200,200,0,2311.75,2424.25,112.5,2143.0,2593.0,2382.915,2417.0,2273.0,2471.0,59.936781486829936,450.60013638757573,2382.915,2417.0,2273.0,2471.0,59.936781486829936,450.60013638757573,7.339422422461212,,logs/manual/1col/manual_bf16_M256_N1024_K2048_1compute_1device.log
manual_bf16_M256_N2048_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,2048,256,64,64,64,1,1,20,200,1,4,200,157,43,1511.0,1516.25,5.25,1503.125,1524.125,1531.99,1512.0,1503.0,1700.0,49.76353986605053,175.22010979183938,1511.8280254777071,1512.0,1506.0,1524.0,2.608604927569657,177.55687252535208,4.072907067835331,,logs/manual/1col/manual_bf16_M256_N2048_K256_1compute_1device.log
manual_bf16_M256_N2048_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,2048,512,64,64,64,1,1,20,200,1,4,200,192,8,1826.0,1832.0,6.0,1817.0,1841.0,1830.845,1830.0,1821.0,1870.0,7.47201278103832,293.23668142305877,1829.6145833333333,1830.0,1821.0,1840.0,3.947229491646289,293.43388322904985,5.223575305193663,,logs/manual/1col/manual_bf16_M256_N2048_K512_1compute_1device.log
manual_bf16_M256_N2048_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,2048,1024,64,64,64,1,1,20,200,1,4,200,199,1,2691.0,2716.0,25.0,2653.5,2753.5,2701.88,2700.0,2655.0,2775.0,18.452793826410137,397.4054450974877,2701.5125628140704,2700.0,2655.0,2748.0,17.754285857119278,397.4594968684954,7.3324114149436355,,logs/manual/1col/manual_bf16_M256_N2048_K1024_1compute_1device.log
manual_bf16_M256_N2048_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,2048,2048,64,64,64,1,1,20,200,1,4,200,181,19,4759.75,4794.25,34.5,4708.0,4846.0,4795.065,4773.5,4699.0,5348.0,85.15715339887777,447.8528754041916,4774.193370165746,4772.0,4708.0,4839.0,23.227464221624466,449.81078089961096,11.92227983288467,,logs/manual/1col/manual_bf16_M256_N2048_K2048_1compute_1device.log
manual_bf16_M512_N512_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,512,256,64,64,64,1,1,20,200,1,4,200,200,0,776.0,881.0,105.0,618.5,1038.5,830.86,785.5,768.0,1017.0,69.35553618854085,161.5407264761813,830.86,785.5,768.0,1017.0,69.35553618854085,161.5407264761813,3.392272586002946,,logs/manual/1col/manual_bf16_M512_N512_K256_1compute_1device.log
manual_bf16_M512_N512_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,512,512,64,64,64,1,1,20,200,1,4,200,189,11,937.0,996.0,59.0,848.5,1084.5,984.92,992.0,926.0,1176.0,49.07182083436481,272.545441254112,976.2010582010582,992.0,926.0,1081.0,33.49898204157866,274.9796814343476,3.950418885797262,,logs/manual/1col/manual_bf16_M512_N512_K512_1compute_1device.log
manual_bf16_M512_N512_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,512,1024,64,64,64,1,1,20,200,1,4,200,168,32,1252.0,1266.25,14.25,1230.625,1287.625,1268.575,1255.0,1242.0,1432.0,33.082841096254114,423.2078607886802,1256.1369047619048,1253.5,1242.0,1283.0,8.356581092908646,427.3984069449512,4.9515657080337405,,logs/manual/1col/manual_bf16_M512_N512_K1024_1compute_1device.log
manual_bf16_M512_N512_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,512,2048,64,64,64,1,1,20,200,1,4,200,196,4,2211.0,2221.0,10.0,2196.0,2236.0,2216.375,2217.0,2193.0,2246.0,7.652736438686492,484.4585523659128,2216.122448979592,2216.5,2199.0,2236.0,6.902772743870347,484.5137616355097,7.297827320173383,,logs/manual/1col/manual_bf16_M512_N512_K2048_1compute_1device.log
manual_bf16_M512_N1024_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,1024,256,64,64,64,1,1,20,200,1,4,200,161,39,1508.0,1513.0,5.0,1500.5,1520.5,1529.33,1511.0,1502.0,1694.0,48.440077415297345,175.52487429135635,1509.9316770186335,1510.0,1502.0,1518.0,2.913076586708778,177.77986917264158,4.090407527051866,,logs/manual/1col/manual_bf16_M512_N1024_K256_1compute_1device.log
manual_bf16_M512_N1024_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,1024,512,64,64,64,1,1,20,200,1,4,200,178,22,1825.0,1852.0,27.0,1784.5,1892.5,1849.875,1829.0,1819.0,2065.0,45.61588950135687,290.22010243935404,1836.3820224719102,1828.0,1819.0,1890.0,19.69429599620184,292.35252002594257,5.101594376377761,,logs/manual/1col/manual_bf16_M512_N1024_K512_1compute_1device.log
manual_bf16_M512_N1024_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,1024,1024,64,64,64,1,1,20,200,1,4,200,191,9,2503.0,2546.25,43.25,2438.125,2611.125,2532.425,2531.5,2463.0,2703.0,37.84368342273252,423.9974822551507,2526.9267015706805,2528.0,2463.0,2605.0,27.958924042655536,424.9200514334612,7.435180865228176,,logs/manual/1col/manual_bf16_M512_N1024_K1024_1compute_1device.log
manual_bf16_M512_N1024_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,1024,2048,64,64,64,1,1,20,200,1,4,200,190,10,4520.0,4543.0,23.0,4485.5,4577.5,4529.805,4532.0,4466.0,4572.0,20.34888141888885,474.0786077987905,4532.747368421053,4532.0,4486.0,4572.0,16.159057047171398,473.77086642004036,11.9483752110973,,logs/manual/1col/manual_bf16_M512_N1024_K2048_1compute_1device.log
manual_bf16_M512_N2048_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,2048,256,64,64,64,1,1,20,200,1,4,200,200,0,3021.0,3398.0,377.0,2455.5,3963.5,3157.66,3031.5,2978.0,3656.0,182.7239568310625,170.02176041752438,3157.66,3031.5,2978.0,3656.0,182.7239568310625,170.02176041752438,5.491631089709699,,logs/manual/1col/manual_bf16_M512_N2048_K256_1compute_1device.log
manual_bf16_M512_N2048_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,2048,512,64,64,64,1,1,20,200,1,4,200,188,12,3616.0,3631.0,15.0,3593.5,3653.5,3625.155,3620.0,3607.0,3671.0,14.282540915397371,296.1919763430805,3622.6436170212764,3619.0,3607.0,3652.0,10.518252206062972,296.39731022807194,7.765227964147925,,logs/manual/1col/manual_bf16_M512_N2048_K512_1compute_1device.log
manual_bf16_M512_N2048_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,2048,1024,64,64,64,1,1,20,200,1,4,200,194,6,5419.0,5445.0,26.0,5380.0,5484.0,5436.93,5434.0,5378.0,5953.0,52.43209990072875,394.98092636837333,5431.469072164949,5434.0,5381.0,5468.0,18.530319878761542,395.37804956036086,12.544851736165583,,logs/manual/1col/manual_bf16_M512_N2048_K1024_1compute_1device.log
manual_bf16_M512_N2048_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,2048,2048,64,64,64,1,1,20,200,1,4,200,184,16,9590.0,9678.25,88.25,9457.625,9810.625,9664.925,9646.0,9557.0,10161.0,108.1519272828737,444.38702793865446,9637.342391304348,9642.5,9557.0,9779.0,49.860971348810295,445.65888827144863,5.322232329286635,,logs/manual/1col/manual_bf16_M512_N2048_K2048_1compute_1device.log
