case_id,device,target,backend_target,npu2,flow,status,validation,timed_validation_failure,dtype,M,N,K,m,n,k,npu_columns,warmup,iterations,raw_count,filtered_count,outlier_count,q1_us,q3_us,iqr_us,lower_bound_us,upper_bound_us,raw_mean_us,raw_median_us,raw_min_us,raw_max_us,raw_std_us,raw_gflops,filtered_mean_us,filtered_median_us,filtered_min_us,filtered_max_us,filtered_std_us,filtered_gflops,elapsed_seconds,error,log_path
allo_int16_M256_N256_K256_m64_n64_k64_4col,xdna2,npu2,npu2_4col,2,allo,success,passed,False,int16,256,256,256,64,64,64,4,20,200,200,184,16,92.0,96.0,4.0,86.0,102.0,95.485,94.0,85.0,291.0,15.07314748153152,351.410504267686,94.16847826086956,94.0,86.0,102.0,2.890931448656602,356.3233963178854,12.614764168858528,,logs/allo/int16/allo_int16_M256_N256_K256_m64_n64_k64_4col.log
allo_int16_M256_N256_K512_m64_n64_k64_4col,xdna2,npu2,npu2_4col,2,allo,success,passed,False,int16,256,256,512,64,64,64,4,20,200,200,193,7,111.0,117.0,6.0,102.0,126.0,115.575,114.0,101.0,300.0,15.211981297648245,580.652078736751,113.80829015544042,114.0,105.0,126.0,4.12367531611074,589.6658662417482,11.335677255876362,,logs/allo/int16/allo_int16_M256_N256_K512_m64_n64_k64_4col.log
allo_int16_M256_N256_K1024_m64_n64_k64_4col,xdna2,npu2,npu2_4col,2,allo,success,passed,False,int16,256,256,1024,64,64,64,4,20,200,200,189,11,144.0,148.0,4.0,138.0,154.0,145.955,147.0,135.0,182.0,5.274748809185135,919.582939947244,145.83597883597884,147.0,138.0,152.0,3.7245896360839597,920.3334394659507,12.377532314509153,,logs/allo/int16/allo_int16_M256_N256_K1024_m64_n64_k64_4col.log
allo_int16_M256_N256_K2048_m64_n64_k64_4col,xdna2,npu2,npu2_4col,2,allo,success,passed,False,int16,256,256,2048,64,64,64,4,20,200,200,171,29,208.0,210.0,2.0,205.0,213.0,208.44,209.0,195.0,224.0,3.8296736153359077,1287.8308194204567,209.16959064327486,209.0,206.0,213.0,1.20932505303126,1283.338821740103,14.615244474262,,logs/allo/int16/allo_int16_M256_N256_K2048_m64_n64_k64_4col.log
allo_int16_M256_N512_K256_m64_n64_k64_8col,xdna2,npu2,npu2,2,allo,success,passed,False,int16,256,512,256,64,64,64,8,20,200,200,172,28,105.0,108.0,3.0,100.5,112.5,108.83,107.0,98.0,295.0,19.76211274130375,616.6393825232013,106.93604651162791,107.0,101.0,112.0,2.1624390186695615,627.5607354972,14.03555916622281,,logs/allo/int16/allo_int16_M256_N512_K256_m64_n64_k64_8col.log
allo_int16_M256_N512_K512_m64_n64_k64_8col,xdna2,npu2,npu2,2,allo,success,passed,False,int16,256,512,512,64,64,64,8,20,200,200,192,8,115.0,124.0,9.0,101.5,137.5,121.65,118.0,108.0,303.0,16.07630243557268,1103.3105466502261,119.31770833333333,118.0,108.0,135.0,5.774233260638497,1124.8768508446462,16.57272345945239,,logs/allo/int16/allo_int16_M256_N512_K512_m64_n64_k64_8col.log
allo_int16_M256_N512_K1024_m64_n64_k64_8col,xdna2,npu2,npu2,2,allo,success,passed,False,int16,256,512,1024,64,64,64,8,20,200,200,198,2,149.0,153.0,4.0,143.0,159.0,151.1,152.0,142.0,161.0,3.1937438845342623,1776.541733951026,151.09595959595958,152.0,143.0,159.0,3.064275061891992,1776.5892398301971,21.705422018654644,,logs/allo/int16/allo_int16_M256_N512_K1024_m64_n64_k64_8col.log
allo_int16_M256_N512_K2048_m64_n64_k64_8col,xdna2,npu2,npu2,2,allo,success,passed,False,int16,256,512,2048,64,64,64,8,20,200,200,164,36,216.0,218.0,2.0,213.0,221.0,216.985,217.0,205.0,250.0,5.495887098549241,2474.2305320644286,217.0548780487805,217.0,213.0,221.0,1.2984655521060036,2473.433985111105,31.629469491541386,,logs/allo/int16/allo_int16_M256_N512_K2048_m64_n64_k64_8col.log
allo_int16_M256_N1024_K256_m64_n64_k64_8col,xdna2,npu2,npu2,2,allo,success,passed,False,int16,256,1024,256,64,64,64,8,20,200,200,170,30,164.0,166.25,2.25,160.625,169.625,164.645,165.0,155.0,175.0,3.2663396945204584,815.1946794618725,165.48823529411766,165.0,162.0,169.0,1.5689570732106901,811.040904276117,15.413888389244676,,logs/allo/int16/allo_int16_M256_N1024_K256_m64_n64_k64_8col.log
allo_int16_M256_N1024_K512_m64_n64_k64_8col,xdna2,npu2,npu2,2,allo,success,passed,False,int16,256,1024,512,64,64,64,8,20,200,200,163,37,192.0,194.0,2.0,189.0,197.0,194.85,193.0,182.0,381.0,19.692320838336958,1377.6518142160637,193.3926380368098,193.0,189.0,197.0,1.5084041980884533,1388.0334780319133,18.08564491942525,,logs/allo/int16/allo_int16_M256_N1024_K512_m64_n64_k64_8col.log
