case_id,device,target,backend_target,npu2,flow,status,validation,timed_validation_failure,dtype,M,N,K,m,n,k,npu_columns,warmup,iterations,raw_count,filtered_count,outlier_count,q1_us,q3_us,iqr_us,lower_bound_us,upper_bound_us,raw_mean_us,raw_median_us,raw_min_us,raw_max_us,raw_std_us,raw_gflops,filtered_mean_us,filtered_median_us,filtered_min_us,filtered_max_us,filtered_std_us,filtered_gflops,elapsed_seconds,error,log_path
allo_int16_M256_N256_K256_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,256,256,64,64,64,4,20,200,200,186,14,167.0,174.0,7.0,156.5,184.5,171.515,170.0,159.0,199.0,6.96704923192021,195.63555374165526,170.09139784946237,170.0,159.0,182.0,4.64401929908974,197.27295103834118,12.126074911095202,,logs/allo/int16/allo_int16_M256_N256_K256_m64_n64_k64_4col.log
allo_int16_M256_N256_K512_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,256,512,64,64,64,4,20,200,200,183,17,189.0,196.0,7.0,178.5,206.5,193.57,191.5,180.0,222.0,7.687984131097046,346.6904169034458,191.81967213114754,191.0,180.0,206.0,5.1273664030669615,349.85391881035804,12.418423640076071,,logs/allo/int16/allo_int16_M256_N256_K512_m64_n64_k64_4col.log
allo_int16_M256_N256_K1024_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,256,1024,64,64,64,4,20,200,200,184,16,239.0,247.0,8.0,227.0,259.0,245.955,242.0,228.0,358.0,17.227100017124183,545.7003435587811,242.2608695652174,242.0,228.0,258.0,5.99885779928398,554.0214903086862,13.654753014910966,,logs/allo/int16/allo_int16_M256_N256_K1024_m64_n64_k64_4col.log
allo_int16_M256_N256_K2048_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,256,2048,64,64,64,4,20,200,200,180,20,323.0,335.0,12.0,305.0,353.0,333.155,326.0,312.0,406.0,20.5771955086207,805.7374375290781,326.97777777777776,325.0,312.0,350.0,7.5291696130269505,820.9593258121517,16.244819154962897,,logs/allo/int16/allo_int16_M256_N256_K2048_m64_n64_k64_4col.log
allo_int16_M256_N512_K256_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,512,256,64,64,64,4,20,200,200,191,9,200.0,210.0,10.0,185.0,225.0,206.375,204.0,195.0,252.0,9.025207753841459,325.1792319806178,205.08376963350784,204.0,195.0,225.0,6.728333341883168,327.2265968190753,12.09051082516089,,logs/allo/int16/allo_int16_M256_N512_K256_m64_n64_k64_4col.log
allo_int16_M256_N512_K512_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,512,512,64,64,64,4,20,200,200,187,13,242.0,250.0,8.0,230.0,262.0,248.175,245.5,231.0,396.0,14.565176792610517,540.8188898962426,245.59358288770053,245.0,231.0,262.0,6.081932698142418,546.5033997300004,12.878901161253452,,logs/allo/int16/allo_int16_M256_N512_K512_m64_n64_k64_4col.log
allo_int16_M256_N512_K1024_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,512,1024,64,64,64,4,20,200,200,189,11,330.0,339.0,9.0,316.5,352.5,335.955,333.0,318.0,400.0,12.817292030690414,799.0220595020166,333.4920634920635,333.0,318.0,351.0,6.543803602131588,804.9230712993813,14.532314054202288,,logs/allo/int16/allo_int16_M256_N512_K1024_m64_n64_k64_4col.log
allo_int16_M256_N512_K2048_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,512,2048,64,64,64,4,20,200,200,198,2,502.0,511.0,9.0,488.5,524.5,506.39,506.0,489.0,530.0,7.163651303630014,1060.1925630442938,506.17171717171715,506.0,489.0,523.0,6.857923831127283,1060.6497632855062,17.770590164233,,logs/allo/int16/allo_int16_M256_N512_K2048_m64_n64_k64_4col.log
allo_int16_M256_N1024_K256_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,1024,256,64,64,64,4,20,200,200,189,11,269.0,278.0,9.0,255.5,291.5,275.185,272.0,258.0,407.0,14.342272309505214,487.73635190871596,272.66137566137564,271.0,258.0,291.0,6.2768273092796445,492.2506081928085,12.875509534031153,,logs/allo/int16/allo_int16_M256_N1024_K256_m64_n64_k64_4col.log
allo_int16_M256_N1024_K512_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,1024,512,64,64,64,4,20,200,200,178,22,343.0,354.0,11.0,326.5,370.5,355.525,347.5,328.0,509.0,29.12111562079997,755.0396062161592,346.7696629213483,346.5,328.0,370.0,7.513865901468723,774.1030565897124,14.042354317381978,,logs/allo/int16/allo_int16_M256_N1024_K512_m64_n64_k64_4col.log
allo_int16_M256_N1024_K1024_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,1024,1024,64,64,64,4,20,200,200,179,21,514.0,527.0,13.0,494.5,546.5,525.065,518.5,502.0,600.0,19.19741584172203,1022.4846676125813,519.1508379888268,518.0,502.0,545.0,8.033076653862143,1034.1328044077136,16.213978389743716,,logs/allo/int16/allo_int16_M256_N1024_K1024_m64_n64_k64_4col.log
allo_int16_M256_N1024_K2048_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,1024,2048,64,64,64,4,20,200,200,195,5,854.0,867.0,13.0,834.5,886.5,862.6,861.0,839.0,924.0,11.53819743287486,1244.773735219105,861.4615384615385,861.0,839.0,884.0,9.000986139267738,1246.4187616751494,20.622601105831563,,logs/allo/int16/allo_int16_M256_N1024_K2048_m64_n64_k64_4col.log
allo_int16_M256_N2048_K256_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,2048,256,64,64,64,4,20,200,200,187,13,357.0,366.0,9.0,343.5,379.5,364.985,361.0,348.0,503.0,17.57454906960631,735.4698302669973,361.5133689839572,361.0,348.0,378.0,5.834947533107579,742.5325839385827,14.882953571155667,,logs/allo/int16/allo_int16_M256_N2048_K256_m64_n64_k64_4col.log
allo_int16_M256_N2048_K512_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,2048,512,64,64,64,4,20,200,200,189,11,514.0,524.0,10.0,499.0,539.0,525.825,517.0,506.0,1243.0,54.950835980902056,1021.0068216611991,518.6507936507936,517.0,506.0,539.0,6.5461133429859695,1035.1298379801071,16.916602476965636,,logs/allo/int16/allo_int16_M256_N2048_K512_m64_n64_k64_4col.log
allo_int16_M256_N2048_K1024_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,2048,1024,64,64,64,4,20,200,200,175,25,863.0,869.0,6.0,854.0,878.0,871.185,865.0,849.0,1007.0,22.541978063160297,1232.5072447298794,865.1714285714286,865.0,855.0,876.0,3.9848693420825465,1241.0740675671213,21.22103751404211,,logs/allo/int16/allo_int16_M256_N2048_K1024_m64_n64_k64_4col.log
allo_int16_M256_N2048_K2048_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,256,2048,2048,64,64,64,4,20,200,200,162,38,1544.0,1565.5,21.5,1511.75,1597.75,1568.42,1551.0,1527.0,2240.0,58.57545219629124,1369.2019025516124,1550.1604938271605,1547.5,1527.0,1596.0,10.380961669721813,1385.3298781328895,29.86246615368873,,logs/allo/int16/allo_int16_M256_N2048_K2048_m64_n64_k64_4col.log
allo_int16_M512_N256_K256_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,256,256,64,64,64,4,20,200,200,185,15,206.0,215.25,9.25,192.125,229.125,215.265,209.0,196.0,357.0,21.311845884390213,311.75000116135925,210.10270270270271,209.0,196.0,229.0,6.470326717448914,319.4098083305462,12.075306673999876,,logs/allo/int16/allo_int16_M512_N256_K256_m64_n64_k64_4col.log
allo_int16_M512_N256_K512_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,256,512,64,64,64,4,20,200,200,188,12,243.0,253.0,10.0,228.0,268.0,250.815,246.0,231.0,394.0,20.841323734350464,535.1263999362079,246.81914893617022,245.0,231.0,268.0,7.269819228572048,543.7897690616784,12.86711334111169,,logs/allo/int16/allo_int16_M512_N256_K512_m64_n64_k64_4col.log
allo_int16_M512_N256_K1024_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,256,1024,64,64,64,4,20,200,200,185,15,328.0,338.0,10.0,313.0,353.0,337.34,332.0,320.0,439.0,20.04505924161862,795.7415545147329,332.23783783783784,331.0,320.0,348.0,6.283197298989405,807.961723285175,14.4545359602198,,logs/allo/int16/allo_int16_M512_N256_K1024_m64_n64_k64_4col.log
allo_int16_M512_N256_K2048_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,256,2048,64,64,64,4,20,200,200,195,5,499.0,510.0,11.0,482.5,526.5,504.67,503.0,490.0,532.0,8.074719809380385,1063.805877107813,504.04615384615386,503.0,490.0,526.0,7.157776697996567,1065.1225247993164,17.617578877601773,,logs/allo/int16/allo_int16_M512_N256_K2048_m64_n64_k64_4col.log
allo_int16_M512_N512_K256_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,512,256,64,64,64,4,20,200,200,188,12,268.0,277.0,9.0,254.5,290.5,274.625,272.0,260.0,398.0,13.501273088120247,488.7309167045972,272.23936170212767,272.0,260.0,290.0,6.49886599085132,493.0136742931947,12.896448519080877,,logs/allo/int16/allo_int16_M512_N512_K256_m64_n64_k64_4col.log
allo_int16_M512_N512_K512_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,512,512,64,64,64,4,20,200,200,187,13,340.0,353.5,13.5,319.75,373.75,356.13,347.5,329.0,990.0,53.39768815220374,753.7569314576137,347.09090909090907,347.0,329.0,373.0,8.966203491774356,773.3865940282872,14.011937513947487,,logs/allo/int16/allo_int16_M512_N512_K512_m64_n64_k64_4col.log
allo_int16_M512_N512_K1024_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,512,1024,64,64,64,4,20,200,200,186,14,517.0,525.25,8.25,504.625,537.625,524.295,522.0,503.0,626.0,16.564962269803093,1023.9863283075368,520.5483870967741,521.5,505.0,537.0,6.070404370921279,1031.3564028010164,16.05204224633053,,logs/allo/int16/allo_int16_M512_N512_K1024_m64_n64_k64_4col.log
allo_int16_M512_N512_K2048_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,512,2048,64,64,64,4,20,200,200,189,11,855.0,867.0,12.0,837.0,885.0,866.65,861.0,845.0,1167.0,30.706147592949527,1238.9566999365372,860.9206349206349,860.0,845.0,884.0,7.884687968384072,1247.2018679154837,20.75567227555439,,logs/allo/int16/allo_int16_M512_N512_K2048_m64_n64_k64_4col.log
allo_int16_M512_N1024_K256_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,1024,256,64,64,64,4,20,200,200,192,8,357.0,369.25,12.25,338.625,387.625,365.875,364.0,343.0,495.0,16.444737000025267,733.6807816877349,363.484375,363.0,343.0,385.0,8.038304497386768,738.5061765034604,14.553275929298252,,logs/allo/int16/allo_int16_M512_N1024_K256_m64_n64_k64_4col.log
allo_int16_M512_N1024_K512_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,1024,512,64,64,64,4,20,200,200,184,16,516.0,526.0,10.0,501.0,541.0,524.875,522.0,504.0,659.0,18.47916055993886,1022.8547978090021,520.429347826087,521.0,504.0,541.0,6.8203187169483614,1031.5923078561807,16.28004921786487,,logs/allo/int16/allo_int16_M512_N1024_K512_m64_n64_k64_4col.log
allo_int16_M512_N1024_K1024_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,1024,1024,64,64,64,4,20,200,200,172,28,860.0,866.0,6.0,851.0,875.0,866.875,862.0,846.0,1040.0,22.445475602000506,1238.6351250180246,861.8953488372093,862.0,851.0,875.0,4.372294032984372,1245.791412436086,19.835129675921053,,logs/allo/int16/allo_int16_M512_N1024_K1024_m64_n64_k64_4col.log
allo_int16_M512_N1024_K2048_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,1024,2048,64,64,64,4,20,200,200,189,11,1536.0,1544.0,8.0,1524.0,1556.0,1540.705,1539.0,1521.0,1637.0,12.015738637303992,1393.8318159543844,1539.3386243386244,1539.0,1524.0,1556.0,7.247085910365066,1395.0690342241394,27.261366039980203,,logs/allo/int16/allo_int16_M512_N1024_K2048_m64_n64_k64_4col.log
allo_int16_M512_N2048_K256_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,2048,256,64,64,64,4,20,200,200,181,19,552.0,560.0,8.0,540.0,572.0,561.04,555.0,537.0,978.0,35.15292875423042,956.9209182945957,555.0331491712707,555.0,540.0,572.0,5.99530253729197,967.2772028150229,19.20929214078933,,logs/allo/int16/allo_int16_M512_N2048_K256_m64_n64_k64_4col.log
allo_int16_M512_N2048_K512_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,2048,512,64,64,64,4,20,200,200,187,13,860.0,868.25,8.25,847.625,880.625,867.905,865.0,849.0,1085.0,22.365285041778474,1237.165155172513,863.8716577540107,864.0,849.0,878.0,6.2816768538958945,1242.9413725548457,22.744759110268205,,logs/allo/int16/allo_int16_M512_N2048_K512_m64_n64_k64_4col.log
allo_int16_M512_N2048_K1024_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,2048,1024,64,64,64,4,20,200,200,177,23,1543.0,1557.0,14.0,1522.0,1578.0,1555.355,1547.0,1527.0,1660.0,24.257348886471497,1380.703214378711,1547.4802259887006,1546.0,1527.0,1578.0,8.629924547123347,1387.729298206671,30.417737232055515,,logs/allo/int16/allo_int16_M512_N2048_K1024_m64_n64_k64_4col.log
allo_int16_M512_N2048_K2048_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,512,2048,2048,64,64,64,4,20,200,200,197,3,2902.0,2966.25,64.25,2805.625,3062.625,2940.255,2945.0,2878.0,3186.0,44.23381031518763,1460.7465325286412,2937.096446700508,2937.0,2878.0,3040.0,36.07361111458269,1462.3174192406602,46.89829179644585,,logs/allo/int16/allo_int16_M512_N2048_K2048_m64_n64_k64_4col.log
allo_int16_M1024_N256_K256_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,1024,256,256,64,64,64,4,20,200,200,191,9,267.0,277.0,10.0,252.0,292.0,274.705,272.0,258.0,402.0,15.887037955515812,488.5885877577765,271.9476439790576,271.0,258.0,289.0,6.553635512310927,493.5425291286434,12.828489759936929,,logs/allo/int16/allo_int16_M1024_N256_K256_m64_n64_k64_4col.log
allo_int16_M1024_N256_K512_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,1024,256,512,64,64,64,4,20,200,200,183,17,340.0,354.0,14.0,319.0,375.0,352.77,345.0,334.0,493.0,24.48667188492548,760.9361793803328,346.6174863387978,344.0,334.0,374.0,8.629984595505709,774.4429135280857,13.97743870364502,,logs/allo/int16/allo_int16_M1024_N256_K512_m64_n64_k64_4col.log
allo_int16_M1024_N256_K1024_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,1024,256,1024,64,64,64,4,20,200,200,175,25,518.0,527.25,9.25,504.125,541.125,527.98,522.0,502.0,640.0,21.58215929882828,1016.8394863441797,521.0857142857143,521.0,506.0,539.0,6.411469314869268,1030.2929005373396,16.00787923298776,,logs/allo/int16/allo_int16_M1024_N256_K1024_m64_n64_k64_4col.log
allo_int16_M1024_N256_K2048_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,1024,256,2048,64,64,64,4,20,200,200,197,3,865.0,901.0,36.0,811.0,955.0,885.455,870.0,845.0,1041.0,30.67895003092511,1212.6441479239486,883.8832487309645,870.0,845.0,955.0,27.746341481137275,1214.800513010768,20.665599410887808,,logs/allo/int16/allo_int16_M1024_N256_K2048_m64_n64_k64_4col.log
allo_int16_M1024_N512_K256_m64_n64_k64_4col,xdna1,npu1,npu1_4col,0,allo,success,passed,False,int16,1024,512,256,64,64,64,4,20,200,200,197,3,356.0,368.0,12.0,338.0,386.0,363.145,361.0,344.0,489.0,13.509403206655726,739.1963430585579,361.9086294416244,361.0,344.0,383.0,7.83081098352149,741.7216229802513,14.525765518192202,,logs/allo/int16/allo_int16_M1024_N512_K256_m64_n64_k64_4col.log
